DATE,WTICO
2010-01-01,78.588
2010-01-04,80.851
2010-01-05,80.647
2010-01-06,82.423
2010-01-07,81.962
2010-01-08,82.204
2010-01-09,82.293
2010-01-11,81.579
2010-01-12,79.653
2010-01-13,79.307
2010-01-14,78.89
2010-01-15,77.694
2010-01-18,78.325
2010-01-19,78.871
2010-01-20,77.353
2010-01-21,75.645
2010-01-22,73.878
2010-01-23,73.878
2010-01-25,75.045
2010-01-26,74.493
2010-01-27,73.553
2010-01-28,73.699
2010-01-29,72.559
2010-01-30,72.479
2010-02-01,74.784
2010-02-02,76.847
2010-02-03,76.845
2010-02-04,72.858
2010-02-05,71.687
2010-02-06,71.777
2010-02-08,71.547
2010-02-09,73.751
2010-02-10,74.617
2010-02-11,75.253
2010-02-12,74.131
2010-02-15,73.911
2010-02-16,77.257
2010-02-17,77.244
2010-02-18,78.441
2010-02-19,79.825
2010-02-20,79.875
2010-02-22,79.709
2010-02-23,78.708
2010-02-24,79.877
2010-02-25,77.93
2010-02-26,79.209
2010-02-27,79.269
2010-03-01,78.544
2010-03-02,79.445
2010-03-03,80.655
2010-03-04,80.221
2010-03-05,81.502
2010-03-06,81.542
2010-03-08,81.575
2010-03-09,81.191
2010-03-10,81.784
2010-03-11,82.178
2010-03-12,81.065
2010-03-13,80.935
2010-03-15,79.79
2010-03-16,81.852
2010-03-17,82.686
2010-03-18,82.081
2010-03-19,80.683
2010-03-20,80.693
2010-03-22,81.554
2010-03-23,81.393
2010-03-24,80.085
2010-03-25,80.023
2010-03-26,79.971
2010-03-27,79.951
2010-03-29,82.32
2010-03-30,82.428
2010-03-31,83.074
2010-04-01,85.039
2010-04-02,85.089
2010-04-05,86.7
2010-04-06,86.649
2010-04-07,85.629
2010-04-08,85.508
2010-04-09,84.887
2010-04-10,84.867
2010-04-12,84.283
2010-04-13,83.692
2010-04-14,85.919
2010-04-15,85.327
2010-04-16,83.284
2010-04-17,83.225
2010-04-19,82.313
2010-04-20,82.979
2010-04-21,82.471
2010-04-22,82.772
2010-04-23,84.132
2010-04-24,84.132
2010-04-26,83.03
2010-04-27,81.015
2010-04-28,82.555
2010-04-29,84.77
2010-04-30,85.47
2010-05-01,85.5
2010-05-03,85.438
2010-05-04,81.59
2010-05-05,79.081
2010-05-06,76.42
2010-05-07,75.0
2010-05-08,75.0
2010-05-10,76.966
2010-05-11,75.683
2010-05-12,75.227
2010-05-13,73.603
2010-05-14,71.749
2010-05-15,71.869
2010-05-17,70.441
2010-05-18,69.374
2010-05-19,69.77
2010-05-20,66.832
2010-05-21,67.667
2010-05-22,67.6
2010-05-24,67.428
2010-05-25,67.409
2010-05-26,68.375
2010-05-27,72.389
