DATE,XAUUSD
2022-01-03,1801.19
2022-01-04,1814.5
2022-01-05,1810.31
2022-01-06,1790.85
2022-01-07,1796.58
2022-01-10,1801.78
2022-01-11,1821.63
2022-01-12,1826.255
2022-01-13,1822.86
2022-01-14,1817.93
2022-01-17,1819.33
2022-01-18,1813.835
2022-01-19,1840.635
2022-01-20,1839.476
2022-01-21,1834.65
2022-01-24,1843.086
2022-01-25,1848.01
2022-01-26,1819.38
2022-01-27,1796.985
2022-01-28,1791.655
2022-01-31,1797.166
2022-02-01,1800.966
2022-02-02,1806.85
2022-02-03,1804.91
2022-02-04,1807.97
2022-02-07,1820.42
2022-02-08,1826.11
2022-02-09,1833.196
2022-02-10,1826.725
2022-02-11,1858.98
2022-02-14,1871.66
2022-02-15,1853.655
2022-02-16,1869.49
2022-02-17,1898.205
2022-02-18,1897.295
2022-02-21,1904.035
2022-02-22,1898.405
2022-02-23,1909.075
2022-02-24,1904.015
2022-02-25,1889.324
2022-02-28,1909.525
2022-03-01,1945.675
2022-03-02,1928.555
2022-03-03,1936.47
2022-03-04,1970.84
2022-03-07,1997.585
2022-03-08,2050.05
2022-03-09,1992.505
2022-03-10,1996.255
2022-03-11,1988.52
2022-03-14,1950.505
2022-03-15,1917.7
2022-03-16,1927.385
2022-03-17,1942.385
2022-03-18,1920.575
2022-03-21,1935.76
2022-03-22,1921.04
2022-03-23,1944.625
2022-03-24,1957.88
2022-03-25,1958.02
2022-03-28,1922.8
2022-03-29,1919.505
2022-03-30,1932.58
2022-03-31,1937.1
2022-04-01,1925.0
2022-04-04,1932.57
2022-04-05,1923.215
2022-04-06,1925.88
2022-04-07,1931.676
2022-04-08,1947.68
2022-04-11,1954.275
2022-04-12,1966.585
2022-04-13,1977.835
2022-04-14,1973.395
2022-04-18,1978.69
2022-04-19,1949.775
2022-04-20,1957.546
2022-04-21,1951.625
2022-04-22,1932.35
2022-04-25,1898.045
2022-04-26,1905.45
2022-04-27,1885.76
2022-04-28,1894.456
2022-04-29,1896.99
2022-05-02,1862.956
2022-05-03,1867.95
2022-05-04,1881.47
2022-05-05,1877.175
2022-05-06,1883.645
2022-05-09,1854.02
2022-05-10,1838.43
2022-05-11,1852.255
2022-05-12,1821.89
2022-05-13,1811.465
2022-05-16,1824.59
2022-05-17,1814.965
2022-05-18,1816.445
2022-05-19,1842.2
2022-05-20,1846.615
2022-05-23,1853.665
2022-05-24,1866.52
2022-05-25,1853.235
2022-05-26,1850.83
2022-05-27,1853.22
2022-05-30,1855.8
2022-05-31,1837.47
2022-06-01,1846.655
2022-06-02,1868.655
2022-06-03,1851.056
2022-06-06,1842.115
2022-06-07,1852.375
2022-06-08,1853.32
2022-06-09,1847.94
2022-06-10,1871.61
2022-06-13,1819.54
2022-06-14,1808.555
2022-06-15,1833.97
2022-06-16,1856.825
2022-06-17,1840.4
2022-06-20,1838.395
2022-06-21,1833.06
2022-06-22,1837.78
2022-06-23,1822.68
2022-06-24,1827.31
2022-06-27,1822.735
2022-06-28,1820.07
2022-06-29,1817.81
2022-06-30,1807.33
2022-07-01,1809.47
2022-07-04,1808.04
2022-07-05,1764.93
2022-07-06,1739.41
2022-07-07,1740.335
2022-07-08,1742.355
2022-07-11,1733.985
2022-07-12,1726.235
2022-07-13,1735.66
2022-07-14,1710.03
2022-07-15,1707.46
2022-07-18,1709.28
2022-07-19,1711.575
2022-07-20,1696.835
2022-07-21,1719.16
2022-07-22,1727.66
2022-07-25,1719.875
2022-07-26,1717.465
2022-07-27,1734.625
2022-07-28,1756.11
2022-07-29,1766.26
2022-08-01,1772.12
2022-08-02,1760.91
2022-08-03,1765.37
2022-08-04,1790.966
2022-08-05,1775.8
2022-08-08,1789.24
2022-08-09,1794.41
2022-08-10,1792.285
2022-08-11,1789.505
2022-08-12,1802.025
2022-08-15,1779.56
2022-08-16,1775.825
2022-08-17,1762.24
2022-08-18,1758.42
2022-08-19,1747.5
2022-08-22,1735.88
2022-08-23,1747.98
2022-08-24,1751.485
2022-08-25,1758.43
2022-08-26,1738.05
2022-08-29,1737.535
2022-08-30,1724.355
2022-08-31,1711.04
2022-09-01,1697.33
2022-09-02,1712.665
2022-09-05,1710.155
2022-09-06,1701.86
2022-09-07,1718.445
2022-09-08,1708.74
2022-09-09,1717.235
2022-09-12,1724.635
2022-09-13,1702.435
2022-09-14,1697.47
2022-09-15,1664.41
2022-09-16,1675.505
2022-09-19,1675.7
2022-09-20,1664.845
2022-09-21,1673.8
2022-09-22,1671.335
2022-09-23,1643.925
2022-09-26,1622.845
2022-09-27,1629.49
2022-09-28,1659.995
2022-09-29,1660.85
2022-09-30,1660.95
2022-10-03,1699.795
2022-10-04,1726.465
2022-10-05,1716.445
2022-10-06,1712.74
2022-10-07,1695.0
2022-10-10,1668.25
2022-10-11,1666.215
2022-10-12,1673.205
2022-10-13,1666.135
2022-10-14,1644.45
2022-10-17,1650.76
2022-10-18,1652.075
2022-10-19,1628.98
2022-10-20,1628.215
2022-10-21,1657.62
2022-10-24,1649.59
2022-10-25,1653.0
2022-10-26,1665.215
2022-10-27,1663.395
2022-10-28,1644.385
2022-10-31,1633.69
2022-11-01,1647.945
2022-11-02,1635.305
2022-11-03,1629.555
2022-11-04,1680.915
2022-11-07,1675.435
2022-11-08,1712.585
2022-11-09,1706.625
2022-11-10,1755.655
2022-11-11,1771.295
2022-11-14,1771.495
2022-11-15,1778.28
2022-11-16,1773.71
2022-11-17,1760.57
2022-11-18,1750.87
2022-11-21,1738.185
2022-11-22,1740.0
2022-11-23,1749.6
2022-11-24,1755.79
2022-11-25,1753.555
2022-11-28,1741.785
2022-11-29,1749.575
2022-11-30,1768.235
2022-12-01,1803.04
2022-12-02,1797.75
2022-12-05,1768.825
2022-12-06,1771.005
2022-12-07,1786.145
2022-12-08,1789.095
2022-12-09,1797.46
2022-12-12,1781.41
2022-12-13,1810.77
2022-12-14,1807.44
2022-12-15,1776.875
2022-12-16,1793.155
2022-12-19,1787.715
2022-12-20,1817.89
2022-12-21,1814.64
2022-12-22,1792.63
2022-12-23,1798.425
2022-12-27,1813.91
2022-12-28,1804.3
2022-12-29,1814.985
2022-12-30,1823.79
2023-01-03,1839.7
2023-01-04,1854.65
2023-01-05,1832.7
2023-01-06,1866.11
2023-01-09,1871.705
2023-01-10,1876.99
2023-01-11,1875.965
2023-01-12,1896.785
2023-01-13,1920.315
2023-01-16,1916.01
2023-01-17,1908.71
2023-01-18,1904.51
2023-01-19,1932.26
2023-01-20,1926.06
2023-01-23,1931.34
2023-01-24,1937.315
2023-01-25,1946.325
2023-01-26,1929.215
2023-01-27,1927.73
2023-01-30,1923.2
2023-01-31,1928.235
2023-02-01,1950.145
2023-02-02,1912.69
2023-02-03,1865.695
2023-02-06,1867.695
2023-02-07,1871.885
2023-02-08,1875.55
2023-02-09,1861.78
2023-02-10,1865.35
2023-02-13,1853.74
2023-02-14,1854.435
2023-02-15,1836.005
2023-02-16,1836.52
2023-02-17,1842.565
2023-02-20,1843.76
